interact_step,reward,step
0.0,-1601.22234102417,200.0
1.0,-1415.9478755413536,200.0
2.0,-1457.7004572224423,200.0
3.0,-1551.6935996077443,200.0
4.0,-1546.1292134659757,200.0
5.0,-1489.559007371912,200.0
6.0,-1417.1418772425718,200.0
7.0,-1408.7494464669574,200.0
8.0,-1427.076087863546,200.0
9.0,-1411.0017426201714,200.0
10.0,-1047.4415295344563,200.0
11.0,-908.7774629873244,200.0
12.0,-860.9110164017718,200.0
13.0,-749.873105501443,200.0
14.0,-1138.13874238845,200.0
15.0,-1046.2603779671151,200.0
16.0,-1013.0355551034712,200.0
17.0,-877.5951939631685,200.0
18.0,-768.9214632438477,200.0
19.0,-722.7916311750845,200.0
20.0,-339.6560260241298,200.0
21.0,-332.71062423031344,200.0
22.0,-332.3242890320806,200.0
23.0,-328.1030009143016,200.0
24.0,-330.68332185770504,200.0
25.0,-323.717978788446,200.0
26.0,-333.30039600112605,200.0
27.0,-317.7753999510278,200.0
28.0,-327.9532444348255,200.0
29.0,-325.6864939731384,200.0
30.0,-323.0955058074616,200.0
31.0,-331.8674945377937,200.0
32.0,-322.2461941910128,200.0
33.0,-318.2213432793158,200.0
34.0,-321.4377872879351,200.0
35.0,-326.9610659038098,200.0
36.0,-315.39850184265663,200.0
37.0,-313.7523655832827,200.0
38.0,-312.7695415244718,200.0
39.0,-320.1919657303701,200.0
40.0,-319.59243431585384,200.0
41.0,-314.9197104861153,200.0
42.0,-315.01186933593726,200.0
43.0,-315.71842138766675,200.0
44.0,-310.3105148946837,200.0
45.0,-309.6252863779824,200.0
46.0,-305.35980718496324,200.0
47.0,-302.11243399200526,200.0
48.0,-295.37695346421435,200.0
49.0,-290.3750753914489,200.0
50.0,-286.2090725349615,200.0
51.0,-286.29607651412084,200.0
52.0,-306.14994719429274,200.0
53.0,-392.2716421919703,200.0
54.0,-263.76578650252264,200.0
55.0,-264.1823837359237,200.0
56.0,-261.58287567921263,200.0
57.0,-262.3752620806485,200.0
58.0,-260.3276171678282,200.0
59.0,-262.2965302111394,200.0
60.0,-261.75631437684444,200.0
61.0,-264.7561661202157,200.0
62.0,-263.43334706542214,200.0
63.0,-265.7793167551554,200.0
64.0,-261.51747781603336,200.0
65.0,-265.36231807252125,200.0
66.0,-262.78674331022177,200.0
67.0,-263.32054747121225,200.0
68.0,-263.42432934071564,200.0
69.0,-260.9806411890364,200.0
70.0,-260.58194891732387,200.0
71.0,-257.1809636581647,200.0
72.0,-259.67404601240355,200.0
73.0,-265.01906401476094,200.0
74.0,-264.0985291469457,200.0
75.0,-257.7199329909918,200.0
76.0,-382.5957750899722,200.0
77.0,-256.043761477351,200.0
78.0,-257.8457271043469,200.0
79.0,-256.87648468957383,200.0
80.0,-256.19654190650647,200.0
81.0,-256.8956951714336,200.0
82.0,-261.09700225745564,200.0
83.0,-258.2640239621563,200.0
84.0,-255.48149984944783,200.0
85.0,-255.4693408538785,200.0
86.0,-254.05806683083915,200.0
87.0,-256.34119178839234,200.0
88.0,-255.6189535831011,200.0
89.0,-258.20705257940955,200.0
90.0,-256.5111806067912,200.0
91.0,-258.1864271778016,200.0
92.0,-259.6788203827595,200.0
93.0,-259.2925409291573,200.0
94.0,-258.26501377755943,200.0
95.0,-260.29012220256567,200.0
96.0,-260.17667828226,200.0
97.0,-258.8955149397942,200.0
98.0,-259.69193512601413,200.0
99.0,-259.8507964426702,200.0
100.0,-259.39212446270614,200.0
101.0,-260.4265529166101,200.0
102.0,-258.9121938906592,200.0
103.0,-261.14246649644457,200.0
104.0,-264.07232910378525,200.0
105.0,-263.8098715365555,200.0
106.0,-262.4301946147907,200.0
107.0,-258.69450743576897,200.0
108.0,-260.5681873367645,200.0
109.0,-262.722015358279,200.0
110.0,-262.3638011135132,200.0
111.0,-263.06021488633223,200.0
112.0,-261.5535041375063,200.0
113.0,-262.021220250886,200.0
114.0,-265.70246735138767,200.0
115.0,-265.00329653751794,200.0
116.0,-264.52386358927146,200.0
117.0,-262.3909079002765,200.0
118.0,-261.2960094040518,200.0
119.0,-262.85975547911187,200.0
120.0,-264.0192593269902,200.0
121.0,-261.46901931284174,200.0
122.0,-259.30746380612374,200.0
123.0,-261.98207896353745,200.0
124.0,-325.6661618579135,200.0
125.0,-261.3618401665144,200.0
126.0,-259.3909729198019,200.0
127.0,-266.50289363072653,200.0
128.0,-259.11812183089825,200.0
129.0,-259.44483251642333,200.0
130.0,-261.2040433214224,200.0
131.0,-257.2313460074419,200.0
132.0,-259.6733870886149,200.0
133.0,-259.80938214435326,200.0
134.0,-258.67450877166885,200.0
135.0,-255.6684744154008,200.0
136.0,-260.17645783511244,200.0
137.0,-262.4069524720274,200.0
138.0,-258.7897924886328,200.0
139.0,-256.01794934966574,200.0
140.0,-258.18672360882965,200.0
141.0,-259.6853301862477,200.0
142.0,-256.7102602166069,200.0
143.0,-255.89037724016148,200.0
144.0,-502.4277045793514,200.0
145.0,-254.0855466613796,200.0
146.0,-253.90218177669428,200.0
147.0,-257.4754645723397,200.0
148.0,-258.3164218956756,200.0
149.0,-256.1428177363632,200.0
150.0,-255.6042874416044,200.0
151.0,-256.1618642311861,200.0
152.0,-258.5576873597539,200.0
153.0,-1484.5494389145176,200.0
154.0,-259.1310787177266,200.0
155.0,-258.8107638019333,200.0
156.0,-261.11906151126146,200.0
157.0,-261.0725576065524,200.0
158.0,-257.51670207523733,200.0
159.0,-253.12544927833963,200.0
160.0,-247.8496215314381,200.0
161.0,-246.42936550165783,200.0
162.0,-358.2050318519176,200.0
163.0,-245.234100359952,200.0
164.0,-1197.4973990336814,200.0
165.0,-253.4602651764192,200.0
166.0,-253.60933678359035,200.0
167.0,-252.9227075010349,200.0
168.0,-1188.898181329202,200.0
169.0,-1320.662620470658,200.0
170.0,-1285.5063819165002,200.0
171.0,-252.73537594664683,200.0
172.0,-249.0177872233779,200.0
173.0,-248.0500547536551,200.0
174.0,-249.3273839799373,200.0
175.0,-249.380009188832,200.0
176.0,-302.9526921254094,200.0
177.0,-301.80682285575887,200.0
178.0,-248.50825380147808,200.0
179.0,-247.7784931626918,200.0
180.0,-249.39040564471333,200.0
181.0,-252.4486151694901,200.0
182.0,-255.30075863368583,200.0
183.0,-255.2967923427018,200.0
184.0,-255.8550375507596,200.0
185.0,-256.5512349119773,200.0
186.0,-257.0620156700821,200.0
187.0,-257.0467909152207,200.0
